URBAN REDEVELOPMENT AUTHORITY - PRIVATE RESIDENTIAL PROPERTY TRANSACTIONS WITH CAVEATS LODGED OR OPTIONS ISSUED,,,,,,,,,,,,,,,
S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,SHEPHERD'S HILL ESTATE,MERINO CRESCENT,Detached,3,RCR,Freehold,Resale,1,5350000,-,4108,Land,-,1302,Aug-18
2,LANDED HOUSING DEVELOPMENT,MERINO CRESCENT,Semi-detached,3,RCR,Freehold,Resale,1,3880000,-,2488,Land,-,1560,Aug-18
3,LANDED HOUSING DEVELOPMENT,COVE GROVE,Detached,4,CCR,99 yrs lease commencing from 2007,Resale,1,33300000,-,18555,Land,-,1795,Aug-18
4,LANDED HOUSING DEVELOPMENT,GUOK AVENUE,Detached,5,RCR,Freehold,Resale,1,4520000,-,5316,Land,-,850,Aug-18
5,LANDED HOUSING DEVELOPMENT,FABER DRIVE,Semi-detached,5,OCR,Freehold,Resale,1,5350000,-,4446,Land,-,1203,Jul-18
6,LANDED HOUSING DEVELOPMENT,FABER GREEN,Terrace,5,OCR,Freehold,Resale,1,2910000,-,2132,Land,-,1365,Jul-18
7,WEST COAST GARDENS,WEST COAST PLACE,Terrace,5,OCR,956 yrs lease commencing from 1928,Resale,1,3000000,-,2005,Land,-,1496,Jul-18
8,WEST COAST GARDENS,WEST COAST DRIVE,Terrace,5,OCR,956 yrs lease commencing from 1928,Resale,1,2860000,-,2090,Land,-,1368,Jun-18
9,LANDED HOUSING DEVELOPMENT,ZEHNDER ROAD,Semi-detached,5,RCR,Freehold,Resale,1,4750000,-,3380,Land,-,1405,Jun-18
10,FABER HILLS,FABER AVENUE,Semi-detached,5,OCR,Freehold,Resale,1,6300000,-,4448,Land,-,1416,Jun-18
11,LANDED HOUSING DEVELOPMENT,JALAN MAS KUNING,Terrace,5,OCR,Freehold,Resale,1,3450000,-,3150,Land,-,1095,Jun-18
12,PARADISE ISLAND,PARADISE ISLAND,Detached,4,CCR,99 yrs lease commencing from 2005,Resale,1,12000000,-,8170,Land,-,1469,May-18
13,LANDED HOUSING DEVELOPMENT,WEST COAST ROAD,Terrace,5,OCR,99 yrs lease commencing from 1995,Resale,1,2650000,-,2550,Land,-,1039,May-18
14,LANDED HOUSING DEVELOPMENT,JALAN PELEPAH,Semi-detached,5,RCR,Freehold,Resale,1,4100000,-,3251,Land,-,1261,May-18
15,WEST COAST GARDENS,WEST COAST TERRACE,Terrace,5,OCR,956 yrs lease commencing from 1928,Resale,1,3610000,-,2004,Land,-,1801,May-18
16,LANDED HOUSING DEVELOPMENT,COVE DRIVE,Detached,4,CCR,99 yrs lease commencing from 2007,Resale,1,14000000,-,6851,Land,-,2043,May-18
17,SHEPHERD'S HILL ESTATE,MERINO CRESCENT,Detached,3,RCR,Freehold,Resale,1,6810000,-,5526,Land,-,1232,May-18
18,SPRINGDEW TERRACE,JALAN MAT JAMBOL,Terrace,5,RCR,Freehold,Resale,1,2850000,-,1615,Land,-,1765,May-18
19,LANDED HOUSING DEVELOPMENT,LORONG SARI,Detached,5,RCR,Freehold,Resale,1,5180000,-,4814,Land,-,1076,Apr-18
20,PARADISE ISLAND,PARADISE ISLAND,Detached,4,CCR,99 yrs lease commencing from 2005,Resale,1,11200000,-,8633,Land,-,1297,Apr-18
21,LANDED HOUSING DEVELOPMENT,COVE GROVE,Detached,4,CCR,99 yrs lease commencing from 2007,Resale,1,12000000,-,9177,Land,-,1308,Apr-18
22,LANDED HOUSING DEVELOPMENT,JALAN MAS PUTEH,Terrace,5,OCR,Freehold,Resale,1,2250000,-,1491,Land,-,1509,Apr-18
23,LANDED HOUSING DEVELOPMENT,WESTRIDGE WALK,Terrace,5,RCR,Freehold,Resale,1,3080000,-,2305,Land,-,1336,Mar-18
24,EALINE PARK,PASIR PANJANG DRIVE,Terrace,5,RCR,Freehold,Resale,1,3080000,-,2285,Land,-,1348,Mar-18
25,LANDED HOUSING DEVELOPMENT,JALAN MAT JAMBOL,Semi-detached,5,RCR,Freehold,Resale,1,4080000,-,3969,Land,-,1028,Mar-18
26,THE CLEMENTVALE,MAS KUNING TERRACE,Terrace,5,OCR,99 yrs lease commencing from 1997,Resale,1,2050000,-,2339,Land,-,876,Mar-18
27,LANDED HOUSING DEVELOPMENT,PASIR PANJANG ROAD,Semi-detached,5,RCR,Freehold,Resale,1,3380000,-,2497,Land,-,1353,Feb-18
28,WEST COAST GARDENS,WEST COAST LANE,Terrace,5,OCR,956 yrs lease commencing from 1928,Resale,1,3000000,-,2856,Land,-,1051,Feb-18
29,THE CLEMENTVALE,MAS KUNING TERRACE,Terrace,5,OCR,99 yrs lease commencing from 1997,Resale,1,1820000,-,2046,Land,-,889,Feb-18
30,WEST COAST GARDENS,WEST COAST TERRACE,Terrace,5,OCR,956 yrs lease commencing from 1928,Resale,1,2700000,-,1983,Land,-,1362,Jan-18
31,LANDED HOUSING DEVELOPMENT,TAMAN MAS MERAH,Terrace,5,OCR,Freehold,Resale,1,2288000,-,1496,Land,-,1529,Jan-18
32,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,Detached,4,CCR,99 yrs lease commencing from 2005,Resale,1,13380000,-,8675,Land,-,1542,Jan-18
33,LANDED HOUSING DEVELOPMENT,FABER WALK,Semi-detached,5,OCR,Freehold,Resale,1,3900000,-,3533,Land,-,1104,Jan-18
34,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,Detached,4,CCR,99 yrs lease commencing from 2005,Resale,1,17500000,-,8585,Land,-,2038,Jan-18
35,CHELSEA VILLAGE,JAMBOL PLACE,Terrace,5,RCR,Freehold,Resale,1,2950000,-,2015,Land,-,1464,Jan-18
36,WEST POINT PEARL GARDEN,WEST COAST ROAD,Semi-detached,5,OCR,Freehold,Resale,1,3900000,-,3261,Land,-,1196,Jan-18
37,LANDED HOUSING DEVELOPMENT,NAMLY GROVE,Detached,10,CCR,Freehold,Resale,1,14000000,-,8341,Land,-,1678,Aug-18
38,LANDED HOUSING DEVELOPMENT,HOOT KIAM ROAD,Terrace,10,CCR,Freehold,Resale,1,3050000,-,1579,Land,-,1932,Aug-18
39,LANDED HOUSING DEVELOPMENT,HOLLAND ROAD,Detached,10,CCR,Freehold,Resale,1,13500000,-,9694,Land,-,1393,Aug-18
40,LANDED HOUSING DEVELOPMENT,JALAN AMPANG,Semi-detached,10,CCR,Freehold,Resale,1,5200000,-,3252,Land,-,1599,Aug-18
41,LANDED HOUSING DEVELOPMENT,BELMONT ROAD,Detached,10,CCR,Freehold,Resale,1,33800000,-,15070,Land,-,2243,Aug-18
